Mean Annual Temperature,Mean Annual Precipition,Annual Respiration,Country
15.1,788,810,USA
15.1,788,730,USA
15.1,788,730,USA
15.1,788,715,USA
15.1,788,650,USA
15.1,788,580,USA
15.1,788,710,USA
24,1255,1440,USA
24,1332,1162,USA
24,1332,1115,USA
24,1332,952,USA
24,1332,1035,USA
18.7,1664,1968,China
18.7,1664,1192,China
18.7,1664,927,China
18.7,1664,1026,China
18.7,1664,719,China
18.7,1664,1835,China
18.7,1664,1359,China
18.7,1664,997,China
18.7,1664,996,China
18.7,1664,730,China
18.7,1664,1771,China
18.7,1664,1211,China
18.7,1664,954,China
18.7,1664,999,China
18.7,1664,640,China
19.2,1688,510,China
19.2,1688,1495,China
19.2,1688,386,China
19.2,1688,1269,China
19.2,1688,510,China
19.2,1688,1495,China
19.2,1688,386,China
19.2,1688,1269,China
19.2,1688,510,China
19.2,1688,1495,China
19.2,1688,386,China
19.2,1688,1269,China
0.81,435,638,China
0.5,435,582,China
0.3,435,574,China
-0.2,435,539,China
-0.4,435,514,China
-0.4,435,468,China
19,1258,881,USA
19,1258,902,USA
18.9,1257,966,USA
18.9,1257,893,USA
18.9,1257,778,USA
18.9,1257,857,USA
-10,150,25,Greenland
-11.4,128,643,Greenland
21,1927,604,China
21,1927,631,China
21,1927,552,China
21,1927,508,China
20.9,1956,578,China
20.9,1956,1001,China
20.9,1956,1586,China
20.9,1956,592,China
20.9,1956,1024,China
20.9,1956,1163,China
21,1927,620,China
21.7,1290,594,China
21.7,1290,718,China
21.7,1290,557,China
21.7,1290,608,China
21.5,1750,941,China
21.5,1750,963,China
21.5,1750,1208,China
21.5,1750,1407,China
21.5,1750,987,China
21.5,1750,982,China
21.5,1750,1268,China
21.5,1750,1495,China
11.3,1365,781,South Korea
11.3,1365,740,South Korea
11.3,1365,608,South Korea
11.3,1365,584,South Korea
11.5,1505,909,South Korea
11.5,1505,807,South Korea
11.5,1505,837,South Korea
11.5,1505,728,South Korea
19,600,890,USA
13,2600,776,USA
13,2600,653,USA
20.3,3500,2200,USA
20.3,3500,2010,USA
20.3,3500,1550,USA
20.3,3500,1640,USA
27,2500,3180,USA
22.3,2500,2910,USA
17.6,2500,2260,USA
15,4900,314,USA
11,4700,685,USA
18.2,4204,1953,USA
17.3,4133,2234,USA
16.7,4043,1860,USA
16.1,3988,1860,USA
16.1,3714,1723,USA
15.5,3521,1726,USA
15.1,3448,1745,USA
13.8,3488,1285,USA
13,3195,1493,USA
15.1,900,624,China
15.1,900,659,China
15.1,900,806,China
15.1,900,832,China
15.1,900,802,China
15.1,900,761,China
15,1544,987,Japan
15,1544,1255,Japan
16.8,1577,198,China
16.8,1577,145,China
17.2,1456,989,China
17.2,1456,529,China
13.1,1330,485,Japan
11.1,1012,1207,USA
10.8,1094,1000,USA
10.8,1094,1090,USA
10.8,1094,1080,USA
10.8,1094,878,USA
10.8,1094,1041,USA
10.8,1094,1332,USA
10.8,1094,1263,USA
10.8,1094,1240,USA
10.8,1094,1266,USA
10.8,1094,1160,USA
0.6,350,95,China
0.6,350,79,China
0.6,350,77,China
0.6,350,66,China
0.6,350,57,China
0.6,350,91,China
0.6,350,58,China
0.6,350,58,China
-0.4,400,194,China
-0.4,400,195,China
-0.4,400,157,China
-0.4,400,127,China
9.2,865,1300,USA
9.2,865,1260,USA
9.2,865,940,USA
9.2,865,730,USA
9.5,1273,783,Japan
6.1,1207,747,Japan
17.9,1489,537,China
17.9,1489,632,China
16.8,1590,1249,China
16.8,1590,795,China
16.8,1590,1362,China
16.8,1590,673,China
16.8,1590,1053,China
16.8,1590,1220,China
16.8,1590,1203,China
16.8,1590,870,China
25,1650,1908,Thailand
25,1650,1715,Thailand
25,1650,1629,Thailand
25,1650,1199,Thailand
25,1650,1421,Thailand
12.5,835,1613,USA
12.5,835,1384,USA
12.5,835,1314,USA
12.5,835,906,USA
12.8,835,144,USA
12.8,835,199,USA
12.8,835,128,USA
12.8,835,194,USA
12.8,835,163,USA
12.8,835,189,USA
12.8,835,215,USA
13,835,858,USA
13,835,534,USA
9.3,804,991,Ireland
9.3,804,686,Ireland
9.3,804,556,Ireland
9.3,804,564,Ireland
9.3,804,686,Ireland
5.5,1000,820,USA
5.5,1000,740,USA
5.5,1000,500,USA
5.5,1000,460,USA
5.5,1000,800,USA
5.5,1000,680,USA
5.5,1000,540,USA
5.5,1000,470,USA
5.5,1000,370,USA
5.5,1000,890,USA
5.5,1000,840,USA
5.5,1000,680,USA
5.5,1000,550,USA
5.5,1000,410,USA
5.5,1000,900,USA
5.5,1000,830,USA
5.5,1000,660,USA
5.5,1000,540,USA
5.5,1000,490,USA
5.1,920,478,USA
5.5,1000,427,USA
5.5,1000,534,USA
5.5,1000,598,USA
6,1020,518,USA
5.5,1000,610,USA
5.5,1000,760,USA
5.5,1000,750,USA
5.5,1000,730,USA
5.5,1000,730,USA
5.5,1000,750,USA
5.5,1000,810,USA
0.8,450,255,Canada
0.8,450,85,Canada
0.8,450,425,Canada
0.8,450,551,Canada
0.8,450,484,Canada
0.8,450,540,Canada
0.8,450,375,Canada
0.8,450,137,Canada
0.8,450,513,Canada
0.8,450,337,Canada
0.8,450,570,Canada
0.8,450,397,Canada
0.8,450,338,Canada
0.8,450,375,Canada
0.8,450,226,Canada
0.8,450,412,Canada
0.8,450,357,Canada
0.8,450,413,Canada
0.8,450,350,Canada
0.8,450,274,Canada
0.8,450,244,Canada
0.8,450,146,Canada
0.8,450,380,Canada
0.8,450,300,Canada
0.8,450,303,Canada
0.8,450,256,Canada
0.8,450,233,Canada
0.8,450,264,Canada
6,1172,371,USA
6,1172,840,USA
8.5,1050,750,USA
8.5,1050,710,USA
8.5,1050,701,USA
8.5,1050,670,USA
8.5,1050,550,USA
8.5,1050,790,USA
8.5,1050,790,USA
8.5,1050,750,USA
8.5,1050,780,USA
8.5,1050,400,USA
8.5,1050,640,USA
8.5,1050,630,USA
8.5,1050,700,USA
8.5,1050,570,USA
8.5,1050,370,USA
8.5,1050,940,USA
8.5,1050,990,USA
8.5,1050,810,USA
8.5,1050,710,USA
8.5,1050,400,USA
8.5,1050,620,USA
8.5,1050,440,USA
8.5,1050,460,USA
8.5,1050,410,USA
8.5,1120,482,USA
8.5,1120,430,USA
8.5,1120,607,USA
8.5,1120,429,USA
8.5,1120,597,USA
8.5,1120,359,USA
8.5,1120,534,USA
8.5,1120,481,USA
8.5,1120,606,USA
8.5,1120,418,USA
8.5,1120,476,USA
8.5,1120,373,USA
8.5,1050,730,USA
8.5,1050,560,USA
8.5,1050,810,USA
8.5,1050,710,USA
8.5,1050,830,USA
8.5,1050,720,USA
6,1100,932,USA
6,1100,1114,USA
6,1100,813,USA
6,1100,501,USA
6,1100,563,USA
6,1100,282,USA
7.1,1066,800,USA
8.5,1050,1148,USA
8.5,1050,964,USA
8.5,1050,864,USA
8.5,1050,617,USA
8.5,1050,1005,USA
8.5,1050,452,USA
8.5,1050,881,USA
8.5,1050,713,USA
8.5,1050,844,USA
8.5,1050,851,USA
6,1080,712,USA
6,1080,1250,USA
24,2000,2887,Brazil
5.5,817,675,USA
5.5,817,782,USA
5.5,817,782,USA
5.5,817,1090,USA
5.5,817,930,USA
7.2,810,487,USA
7.2,810,467,USA
7.2,810,469,USA
7.2,810,474,USA
4.8,821,1071,USA
6.1,828,1071,USA
6.9,856,1071,USA
7.6,793,1071,USA
4.8,821,894,USA
6.1,828,894,USA
6.9,856,894,USA
7.6,793,894,USA
4.8,821,1071,USA
6.1,828,1071,USA
6.9,856,1071,USA
7.6,793,1071,USA
4.8,821,894,USA
6.1,828,894,USA
6.9,856,894,USA
7.6,793,894,USA
6.2,750,1132,USA
3.9,896,742,USA
3.9,896,629,USA
3.9,896,707,USA
3.9,896,600,USA
5.5,817,1116,USA
5.5,817,987,USA
5.5,817,1005,USA
5.5,817,946,USA
5.5,817,960,USA
5.5,817,675,USA
5.5,817,782,USA
5.5,817,782,USA
5.5,817,1090,USA
5.5,817,930,USA
5.7,660,1669,USA
5.7,660,1828,USA
5.7,660,1866,USA
5.7,660,1922,USA
5.7,660,1835,USA
5.7,660,1767,USA
5.7,660,1510,USA
5.8,802,794,USA
5.8,802,707,USA
5.8,802,739,USA
17.3,1346,490,USA
17.3,1346,616,USA
17.3,1346,620,USA
12.5,973,316,USA
12.2,1000,452,USA
12.8,940,1013,USA
12.8,961,1013,USA
13.3,1120,1193,USA
13.3,1120,1309,USA
13.3,1120,1097,USA
15.5,370,766,Spain
15.5,370,648,Spain
15.5,370,427,Spain
15.5,370,766,Spain
15.5,370,648,Spain
15.5,370,427,Spain
16.1,74,125,USA
11.1,374,215,USA
7.7,899,426,USA
7.7,899,681,USA
7.7,899,265,USA
7.7,899,189,USA
7.7,899,520,USA
7.7,899,416,USA
7.7,899,341,USA
7.7,899,227,USA
6.5,1170,371,USA
6.5,1170,403,USA
15.5,1140,956,USA
15.5,1140,1067,USA
15.5,1140,928,USA
15.5,1140,1183,USA
15.5,1140,1176,USA
12.9,1796,1250,USA
12.9,1796,1240,USA
12.9,1796,1220,USA
12.9,1796,1320,USA
12.9,1796,1000,USA
12.9,1796,1170,USA
12.9,1796,1030,USA
12.9,1796,1180,USA
17,1210,1263,USA
17,1210,1489,USA
17,1210,1293,USA
17,1210,1576,USA
12.6,1900,197,USA
12.6,1900,415,USA
8.5,2300,179,USA
8.5,2300,164,USA
8.5,2300,137,USA
8.5,2300,100,USA
15.5,1140,1457,USA
15.5,1140,1503,USA
15.5,1140,1591,USA
15.5,1140,2000,USA
15.5,1140,2194,USA
15.5,1140,1885,USA
15.5,1140,1885,USA
15.5,1140,2092,USA
15.5,1140,1840,USA
15.5,1140,2340,USA
15.5,1140,2414,USA
17,1210,811,USA
17,1210,1038,USA
17,1210,926,USA
17,1210,938,USA
15.5,1140,1670,USA
15.5,1140,1650,USA
15.5,1140,1590,USA
15.5,1140,1530,USA
15.5,1140,1470,USA
15.5,1140,1390,USA
15.5,1140,1960,USA
15.5,1140,1950,USA
15.5,1140,1890,USA
15.5,1140,1800,USA
15.5,1140,1690,USA
15.5,1140,1520,USA
16.8,1349,672,USA
16.8,1349,794,USA
16.8,1349,1086,USA
15.5,1140,1330,USA
15.5,1140,1231,USA
15.5,1140,1464,USA
15.5,1140,1557,USA
15.6,1150,757,USA
16.6,1330,646,USA
16.6,1330,676,USA
16.6,1330,619,USA
16.6,1330,385,USA
16.6,1330,985,USA
16.6,1330,633,USA
5,404,814,USA
5,404,1000,USA
5.5,1290,342,Canada
5.5,1290,517,Canada
5.5,1290,219,Canada
5.5,1290,533,Canada
5.5,1290,245,Canada
5.5,1290,366,Canada
5.5,1290,305,Canada
5.5,1290,440,Canada
5.5,1290,290,Canada
5.5,1290,280,Canada
5.5,1290,340,Canada
5.5,1290,220,Canada
16.3,914,787,USA
16.3,914,817,USA
16.3,914,738,USA
16.3,914,825,USA
16.3,914,700,USA
16.3,914,806,USA
16.3,914,693,USA
16.3,914,802,USA
16.3,914,800,USA
16.3,914,900,USA
16.3,914,790,USA
16.3,914,920,USA
16.3,914,825,USA
16.3,914,900,USA
16.3,914,740,USA
16.3,914,900,USA
16.3,914,850,USA
16.3,914,900,USA
16.3,914,805,USA
16.3,914,850,USA
16.3,914,875,USA
16.3,914,968,USA
16.3,914,805,USA
16.3,914,900,USA
16.3,915,835,USA
16.3,915,927,USA
16.3,915,782,USA
16.3,915,915,USA
16.3,915,1131,USA
16.3,915,877,USA
16.3,915,1129,USA
16.3,915,1013,USA
16.3,915,1166,USA
15.2,1000,999,USA
1.5,814,911,Canada
1.5,814,918,Canada
5.5,842,670,Canada
7.8,1010,539,Canada
7.8,1010,511,Canada
7.8,1010,558,Canada
7.8,1010,671,Canada
7.5,552,519,USA
8.1,524,499,USA
7.5,552,427,USA
8.1,524,597,USA
7.5,552,505,USA
8.1,524,483,USA
8.1,600,683,USA
8.7,2370,831,USA
8.7,2370,727,USA
8.7,2370,841,USA
8.7,2370,560,USA
8.7,2370,640,USA
8.7,2370,660,USA
8.7,2370,1150,USA
8.7,2370,1140,USA
8.7,2370,1180,USA
8.7,2370,1500,USA
8.7,2370,1410,USA
8.7,2370,1280,USA
8.7,2370,380,USA
8.7,2370,420,USA
8.7,2370,580,USA
5.5,2800,1205,USA
5.5,2800,1086,USA
5.5,2800,1081,USA
5.5,2800,1557,USA
11.1,2100,2007,USA
11.1,2100,1478,USA
11.1,2100,2067,USA
11.1,2100,1669,USA
8,520,482,USA
8,520,593,USA
8,520,872,USA
8,520,717,USA
8.1,600,683,USA
8.1,600,773,USA
8.5,2300,1653,USA
8.5,2300,2383,USA
8.5,2300,1214,USA
8.5,2300,2045,USA
8.5,2300,1461,USA
26,2272,1627,Brazil
26,2272,1211,Brazil
25.7,2272,1487,Brazil
25.7,2272,1166,Brazil
18.3,4000,1075,USA
22.3,3920,770,USA
22.3,3920,1048,USA
23,3500,1314,USA
23,3500,1022,USA
21,4300,1606,USA
0,791,79,Canada
0,791,80,Canada
0,791,7,Canada
0,960,710,Canada
0.7,890,1020,Canada
0.7,890,1462,Canada
0.7,890,1353,Canada
23,1500,830,Brazil
23,1500,1272,Brazil
25,2180,1297,Brazil
25,2180,1362,Brazil
25.5,2200,750,Brazil
25.5,2200,750,Brazil
25.5,2200,750,Brazil
25.5,2200,750,Brazil
25.5,2200,500,Brazil
19.2,1391,1135,Brazil
19.2,1391,1111,Brazil
19.2,1391,1205,Brazil
19.2,1391,1053,Brazil
19.2,1391,1154,Brazil
19.2,1391,1558,Brazil
19.2,1391,1615,Brazil
19.2,1391,1275,Brazil
19.2,1391,1326,Brazil
19.2,1391,1464,Brazil
19.2,1391,1384,Brazil
19.2,1391,1456,Brazil
1.5,405,592,Canada
0.5,406,905,Canada
1.5,405,896,Canada
1.5,405,440,Canada
1.5,405,240,Canada
1.5,405,330,Canada
1.5,405,570,Canada
1.5,405,320,Canada
1.5,405,430,Canada
1.5,405,230,Canada
1.5,405,320,Canada
1.5,405,550,Canada
1.5,405,320,Canada
0.3,456,914,Canada
0.3,456,745,Canada
0.3,456,827,Canada
0.4,457,611,Canada
7.7,1040,463,United Kingdom
7.7,1040,354,United Kingdom
7.7,1040,310,United Kingdom
7.7,1040,783,United Kingdom
8.3,849,700,United Kingdom
8.3,849,676,United Kingdom
8.3,849,815,United Kingdom
8.3,849,929,United Kingdom
8.3,849,1146,United Kingdom
8.3,849,869,United Kingdom
8.3,849,918,United Kingdom
8.3,849,943,United Kingdom
8.3,849,1030,United Kingdom
8.3,849,1272,United Kingdom
8.3,849,1377,United Kingdom
8.3,849,1237,United Kingdom
8.3,849,564,United Kingdom
8.3,849,647,United Kingdom
8.3,849,729,United Kingdom
8.3,849,750,United Kingdom
8.3,849,701,United Kingdom
8.3,849,680,United Kingdom
8.9,900,435,China
8.9,900,458,China
17.3,826,627,China
17.3,826,655,China
7.5,900,540,Germany
7.5,900,570,Germany
7.5,900,640,Germany
7.5,900,640,Germany
7.5,900,550,Germany
7.5,900,660,Germany
7.5,900,710,Germany
7.5,900,770,Germany
7.5,900,300,Germany
7.5,900,370,Germany
7.5,900,380,Germany
7.5,900,480,Germany
17.7,1250,1670,USA
17.7,1250,1290,USA
17.7,1250,1320,USA
18,1200,357,USA
18,1200,422,USA
18,1200,509,USA
18,1200,484,USA
18,1200,478,USA
18,1200,397,USA
16.6,1269,360,USA
16.6,1269,264,USA
20,1190,1070,USA
20,1190,880,USA
20,1190,1000,USA
20,1190,950,USA
20,1190,930,USA
20,1190,1020,USA
28,2500,3641,Indonesia
13.3,1265,1065,USA
13.3,1265,1036,USA
14,1500,529,USA
14,1500,483,USA
14,1500,492,USA
14,1400,753,USA
13.7,1367,276,USA
13.7,1367,344,USA
13.7,1367,193,USA
13.7,1367,280,USA
13.7,1367,265,USA
13.7,1367,257,USA
13.7,1367,291,USA
13.7,1367,310,USA
13.7,1367,276,USA
13.7,1367,360,USA
13.7,1367,250,USA
13.7,1367,356,USA
13.7,1367,284,USA
13.7,1367,318,USA
13.7,1367,303,USA
13.7,1367,382,USA
13.3,1265,491,USA
13.3,1265,436,USA
13.8,1352,950,USA
14.2,1390,600,USA
14.2,1390,784,USA
14.2,1390,898,USA
14.2,1390,996,USA
14.2,1390,698,USA
14.2,1390,598,USA
14.2,1390,849,USA
14.2,1390,999,USA
14.2,1390,1166,USA
14.2,1390,772,USA
8.5,2300,183,USA
8.5,2300,165,USA
8.5,2300,162,USA
8.5,2300,102,USA
8.5,2300,142,USA
8.5,2300,148,USA
8.5,2300,121,USA
8.5,2300,144,USA
13.3,1265,1070,USA
19,878,1600,USA
19,878,1300,USA
19,878,1200,USA
19,878,1000,USA
19,878,2100,USA
19,878,1500,USA
19.4,1360,896,USA
22.4,716,786,USA
22.4,716,707,USA
22.4,716,896,USA
22.4,716,876,USA
22.4,716,1165,USA
22.4,716,1224,USA
22.4,716,2071,USA
22.4,716,1802,USA
22.4,716,611,USA
22.4,716,683,USA
22.4,716,780,USA
22.4,716,771,USA
19.4,1320,493,USA
19.4,1320,592,USA
19.4,1320,712,USA
18.7,356,553,USA
-1.7,580,191,China
13,729,1157,Italy
13,729,1415,Italy
13,729,1887,Italy
7.1,244,187,USA
7.1,244,184,USA
12.5,207,151,USA
1.6,1090,274,USA
16.9,1162,1135,USA
13,1070,760,USA
13,1070,1110,USA
13,1070,1230,USA
13,1070,651,USA
13,1070,976,USA
13,1070,1075,USA
13,1070,1097,USA
14.3,1150,1179,USA
14.3,1150,1126,USA
11.8,940,1093,USA
11.8,940,1093,USA
11.8,940,1096,USA
11.8,940,1096,USA
11.8,940,1087,USA
11.8,940,1087,USA
7.8,1850,490,USA
7.8,1850,650,USA
5.5,2300,620,USA
7.8,1850,565,USA
5.7,660,856,USA
5.7,660,849,USA
8.7,2500,1194,USA
8.7,2500,1367,USA
8.7,2500,883,USA
4.2,586,541,USA
4.2,586,478,USA
4.2,586,483,USA
4.2,586,374,USA
4.2,586,505,USA
4.2,586,404,USA
4.1,800,867,USA
4.1,800,1097,USA
4.1,800,878,USA
4.1,800,903,USA
4.1,800,1131,USA
4.1,800,905,USA
4.1,800,970,USA
4.1,800,1194,USA
4.1,800,952,USA
4.1,800,809,USA
4.1,800,1043,USA
4.1,800,837,USA
7.5,928,1181,USA
7.5,928,1331,USA
7.5,928,1174,USA
7.5,928,1387,USA
7.5,928,1386,USA
7.5,928,1510,USA
7.5,940,719,USA
4.8,776,810,USA
4.9,810,707,USA
4.9,810,997,USA
4.9,810,710,USA
4.9,810,1033,USA
4.9,810,657,USA
4.9,810,860,USA
4.9,810,606,USA
4.9,810,924,USA
4.9,810,797,USA
4.9,810,1489,USA
4.9,810,865,USA
4.9,810,1060,USA
4.9,810,936,USA
4.9,810,1373,USA
4.9,810,737,USA
4.9,810,1093,USA
7.6,791,560,USA
7.6,791,2550,USA
7.6,791,2800,USA
7.6,791,1200,USA
4.1,465,156,USA
4.1,465,303,USA
4.1,465,351,USA
4.1,465,460,USA
6,228,927,USA
11.3,1840,992,China
11.3,1840,512,China
11.3,1840,464,China
11.3,1840,817,China
11.3,1840,781,China
11.3,1840,464,China
11.3,1840,440,China
11.3,1840,893,China
11.3,1840,714,China
11.3,1840,425,China
11.3,1840,407,China
11.3,1840,600,China
11.3,1840,505,China
11.3,1840,335,China
11.3,1840,324,China
11.3,1840,474,China
11.3,1840,822,China
11.3,1840,398,China
11.3,1840,450,China
11.3,1840,683,China
11.3,1840,530,China
11.3,1840,334,China
11.3,1840,322,China
11.3,1840,535,China
16.4,1629,1549,China
16.4,1629,1123,China
16.4,1629,1151,China
13,791,987,Australia
13.8,1270,1230,Australia
13.8,1270,780,Australia
13.8,1270,920,Australia
13.8,1270,820,Australia
13.5,1220,711,Australia
13.5,1220,655,Australia
23.6,850,380,Australia
12.6,1207,1470,Australia
12.6,1207,1020,Australia
12.6,1207,861,Australia
31.5,1700,1430,Australia
12.4,787,1000,Australia
6.8,1563,525,Austria
2.4,950,35,Austria
6.3,850,1792,Austria
3,1097,729,Austria
2.4,950,33,Austria
5.7,1480,622,Austria
5.7,1480,622,Austria
8.4,1000,1773,Belgium
8.4,1000,1827,Belgium
8.4,1000,2018,Belgium
7.5,1000,537,Belgium
7.5,1000,973,Belgium
9.8,767,840,Belgium
9.8,767,970,Belgium
9.8,767,910,Belgium
9.8,767,410,Belgium
9.8,767,510,Belgium
9.8,767,570,Belgium
9.8,750,458,Belgium
9.8,750,560,Belgium
9.8,750,492,Belgium
9.8,750,935,Belgium
9.8,750,674,Belgium
9.8,750,893,Belgium
9.8,821,896,Belgium
9.8,750,420,Belgium
9.8,750,850,Belgium
9.8,750,840,Belgium
9.8,750,970,Belgium
9.8,750,910,Belgium
9.8,750,750,Belgium
9.8,750,410,Belgium
9.8,750,510,Belgium
9.8,750,570,Belgium
9.8,750,510,Belgium
9.8,750,1360,Belgium
9.8,750,610,Belgium
9.8,750,580,Belgium
27,950,1610,Benin
26,1940,1880,Brazil
26,1940,1710,Brazil
26,1940,1840,Brazil
26,1940,1830,Brazil
26,1940,1540,Brazil
26,1940,1350,Brazil
26,1940,1490,Brazil
26,1940,2620,Brazil
26,1940,1690,Brazil
26,1940,1730,Brazil
26,1940,2280,Brazil
26,1940,1690,Brazil
26,1940,1470,Brazil
26,1940,2750,Brazil
26,1940,1510,Brazil
26,1940,1770,Brazil
26,1800,2000,Brazil
26,1800,1800,Brazil
26,1800,1500,Brazil
26,1800,1000,Brazil
25,2180,1436,Brazil
25,2180,1324,Brazil
25,2180,1393,Brazil
25,2180,1268,Brazil
25,2180,1414,Brazil
25.5,2539,1593,Brazil
25.5,2539,2021,Brazil
25.5,2539,1988,Brazil
25.5,2539,2237,Brazil
25.5,2539,1429,Brazil
28,2000,1280,Brazil
28,2000,1280,Brazil
19,1370,990,Brazil
19,1370,1130,Brazil
19,1370,1200,Brazil
29.5,926,581,Burkina Faso
29.5,926,385,Burkina Faso
2.8,700,785,China
2.8,700,813,China
2.8,700,786,China
2.8,700,781,China
2.8,700,514,China
2.8,700,403,China
3.5,732,1017,China
21,1927,1142,China
21,1927,1026,China
21,1927,1040,China
21.4,1927,780,China
21.4,1927,622,China
21.4,1927,701,China
21.4,1927,578,China
21.4,1927,552,China
21.4,1927,534,China
0.3,350,347,China
-1.7,560,555,China
-1.7,560,418,China
17.3,826,602,China
17.3,826,480,China
21.4,1557,1274,China
20.8,1956,1075,China
20.8,1956,933,China
20.8,1956,590,China
21.4,1927,600,China
21.4,1927,913,China
21.4,1927,1077,China
6.9,220,334,China
6.9,220,191,China
17.9,1485,605,China
17.9,1485,717,China
17.9,1485,684,China
-5.4,500,493,China
2.8,750,548,China
20.9,1564,965,China
21.4,1557,942,China
18,1164,213,China
18,1164,185,China
18,1164,147,China
3.6,700,593,China
17.9,1469,705,China
17.9,1469,720,China
17.9,1469,785,China
17.9,1469,725,China
17.9,1469,745,China
17.9,1469,730,China
21.7,1900,870,China
21.7,1900,1413,China
21.7,1900,909,China
21.7,1900,1051,China
21.7,1900,924,China
21.7,1900,1041,China
21.7,1900,931,China
21.7,1900,1010,China
17.9,1469,548,China
17.9,1469,632,China
17.9,1469,758,China
17.9,1469,800,China
21,1956,1314,China
21,1956,1242,China
21,1956,1075,China
26,2200,997,Colombia
26,2200,1303,Colombia
25,1200,1325,Congo
25,1274,662,Congo
25,1274,653,Congo
25,1350,800,Congo
25,1350,1320,Congo
25,1350,1650,Congo
25,1350,2660,Congo
25,1350,4300,Congo
25,1350,5220,Congo
25,1350,580,Congo
25,1350,470,Congo
25,1350,740,Congo
25.7,1430,1380,Congo
25.7,1430,2020,Congo
25.7,1430,1780,Congo
